species,latin_species,family,variety,origin_canada,edible
Western yew,Taxus brevifolia,yew,Conifer,Native,Inedible
White ash,Fraxinus americana,ash,Deciduous,Native,Inedible
White birch,Betula papyrifera,birch,Deciduous,Native,Inedible
White elm,Ulmus americana,elm,Deciduous,Native,Inedible
White fir,Abies concolor,fir,Conifer,Introduced,Inedible
White linden,Tilia tomentosa,linden,Deciduous,Introduced,Inedible
White mulberry,Morus alba,mulberry,Deciduous,Naturalized,Inedible
White oak,Quercus alba,oak,Deciduous,Native,Edible
White spruce,Picea glauca,spruce,Conifer,Native,Inedible
Whitebark pine,Pinus albicaulis,pine,Conifer,Native,Inedible
Wild crab apple,Malus coronaria,crab,Deciduous,Native,Edible
Winged euonymus,Euonymus alatus,euonymus,Deciduous,Introduced,Inedible
Winter creeper euonymus,Euonymus fortunei,creeper,Deciduous,Introduced,Inedible
Winterberry Euonymus,Euonymus bungeanus,none,Deciduous,Introduced,Inedible
Witch hazel,Hamamelis virginiana,hazel,Deciduous,Native,Inedible
Yellow birch,Betula alleghaniensis,birch,Deciduous,Native,Inedible
Yellow cedar,Chamaecyparis nootkatensis,cedar,Conifer,Native,Inedible
Yellow Twig Dogwood,Cornus sericea,none,Deciduous,Naturalized,Inedible
Yellow wood,Cladrastis lutea,wood,Deciduous,Introduced,Inedible
